LVVVALUE	LVVVALIDFROM	LVVVALIDTO	LOAATTRIBUTE	LVAVALUE	LOTTRANSLATION	LVVSID	LOVSID	LVASID	LOASID
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	REFERENCE_REQUIRED	R	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12589	289
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	ADDITION_REQUIRED	N	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12590	290
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	ISSUEDATE_REQUIRED	R	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12591	291
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	VALIDTO_REQUIRED	R	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12592	292
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	DETAIL_REQUIRED	N	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12593	293
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	VALUE_REQUIRED	N	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12594	294
2AAF	01.01.2010 12:01:00	31.12.3999 12:12:00	UOM_REQUIRED	N	Vorherige Bewilligung (Einfuhrgenehmigung)	2526	143	12595	295
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	REFERENCE_REQUIRED	R	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12596	289
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	ADDITION_REQUIRED	O	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12597	290
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	ISSUEDATE_REQUIRED	R	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12598	291
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	VALIDTO_REQUIRED	R	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12599	292
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	DETAIL_REQUIRED	R	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12600	293
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	VALUE_REQUIRED	R	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12601	294
3AAL	01.01.2010 12:01:00	31.12.3999 12:12:00	UOM_REQUIRED	D	Ausfuhrgenehmigung des BAFA nach § 5 Abs. 2 AWV i.V.m. Teil I Abschnitt C Kennungen 901 - 999 der Ausfuhrliste zur wiederholten vorübergehenden Ausfuhr	2527	143	12602	295
